university,private,apps,accept,enroll,top10perc,top25perc,f_undergrad,p_undergrad,outstate,room_board,books,personal,phd,terminal,s_f_ratio,perc_alumni,expend,grad_rate,reject,perc_accept,perc_actually_came
University of North Texas,No,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86.0,94,22.6,6,5657,35,1681,61.95,74.86
University of Northern Colorado,No,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75.0,75,21.5,8,6309,40,1523,72.46,42.35
University of Northern Iowa,No,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78.0,82,16.3,26,6333,77,765,81.54,54.84
University of Notre Dame,Yes,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96.0,92,13.1,46,13936,97,4000,48.05,51.51
University of Oklahoma,No,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86.0,90,11.5,11,10244,44,773,83.7,56.25
University of Oregon,No,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79.0,87,19.7,13,8020,54,1899,78.0,37.82
University of Pennsylvania,Yes,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95.0,96,6.3,38,25765,93,7162,42.21,47.09
University of Pittsburgh-Main Campus,No,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93.0,93,7.8,10,13789,66,2203,74.34,39.21
University of Portland,Yes,1758,1485,419,27,58,2041,174,12040,4100,600,1100,92.0,96,13.2,17,9060,72,273,84.47,28.22
University of Puget Sound,Yes,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79.0,86,15.0,17,11217,63,1218,69.88,24.35
University of Rhode Island,No,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84.0,89,16.6,7,9158,63,1892,80.38,25.39
University of Richmond,Yes,5892,2718,756,46,72,2854,594,14500,3285,700,1125,75.0,89,11.7,32,11984,100,3174,46.13,27.81
University of Rochester,Yes,8766,5498,1243,56,75,5071,438,17840,6582,500,882,93.0,99,5.9,23,26037,80,3268,62.72,22.61
University of San Diego,Yes,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93.0,96,15.6,13,10813,66,1199,69.52,32.39
University of San Francisco,Yes,2306,1721,538,23,48,4309,549,13226,6452,750,2450,86.0,86,13.6,8,10074,62,585,74.63,31.26
University of Sci. and Arts of Oklahoma,No,285,280,208,21,43,1140,473,3687,1920,600,1800,67.0,77,23.6,3,3864,43,5,98.25,74.29
University of Scranton,Yes,4471,2942,910,29,60,3674,493,11584,5986,650,800,83.0,83,14.1,41,9131,92,1529,65.8,30.93
University of South Carolina at Aiken,No,848,560,377,14,24,1855,1412,5800,3066,500,1500,62.0,62,14.8,3,5035,48,288,66.04,67.32
University of South Carolina at Columbia,No,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84.0,88,16.9,18,8246,63,1878,75.59,40.03
University of South Florida,No,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84.0,89,17.0,7,11020,47,2913,61.62,40.12
University of Southern California,Yes,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90.0,94,11.4,10,17007,68,3731,69.49,29.15
University of Southern Colorado,No,1401,1239,605,10,34,3716,675,7100,4380,540,2948,63.0,88,19.4,0,5389,36,162,88.44,48.83
University of Southern Indiana,No,2379,2133,1292,8,25,4283,2973,4973,3192,500,1425,56.0,65,22.0,21,4078,38,246,89.66,60.57
University of Southern Mississippi,No,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78.0,99,18.7,23,5917,45,806,71.72,51.17
University of St. Thomas MN,Yes,2057,1807,828,26,53,4106,982,11712,4037,500,800,80.0,80,13.8,13,8546,89,250,87.85,45.82
University of St. Thomas TX,Yes,374,280,185,45,77,995,408,8550,4050,500,1344,75.0,75,12.6,17,7237,62,94,74.87,66.07
University of Tennessee at Knoxville,No,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86.0,92,16.5,22,8612,53,2101,71.89,56.09
University of Texas at Arlington,No,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73.0,73,21.0,4,4696,29,722,77.99,56.58
University of Texas at Austin,No,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91.0,99,19.7,11,7837,65,5180,64.89,55.67
University of Texas at San Antonio,No,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94.0,100,25.3,3,4329,50,1117,73.51,54.39
University of the Arts,Yes,974,704,290,5,22,1145,39,12520,3860,1300,700,16.0,59,7.5,9,11641,57,270,72.28,41.19
University of the Pacific,Yes,2459,1997,582,36,66,2664,299,16320,5326,646,1171,87.0,94,11.2,14,13706,65,462,81.21,29.14
University of the South,Yes,1445,966,326,46,83,1129,24,15350,4080,450,810,89.0,93,10.3,52,18784,82,479,66.85,33.75
University of Tulsa,Yes,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94.0,96,11.5,10,11743,47,155,90.95,44.7
University of Utah,No,5095,4491,2400,27,53,13894,8374,6857,3975,858,3093,89.0,93,12.8,9,9275,37,604,88.15,53.44
University of Vermont,No,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87.0,90,9.9,10,12646,79,1655,78.4,28.88
University of Virginia,No,15849,5384,2678,74,95,11278,114,12212,3792,500,1000,90.0,92,9.5,22,13597,95,10465,33.97,49.74
University of Washington,No,12749,7025,3343,40,81,20356,4582,8199,4218,708,2172,96.0,94,9.0,10,16527,65,5724,55.1,47.59
University of West Florida,No,1558,1254,472,20,57,3754,2477,6172,3994,541,1387,83.0,87,23.4,12,8488,53,304,80.49,37.64
University of Wisconsin-Stout,No,2593,1966,1030,9,32,6038,579,6704,2592,376,1750,78.0,78,21.0,17,6254,65,627,75.82,52.39
University of Wisconsin-Superior,No,910,910,342,14,53,1434,417,7032,2780,550,1960,75.0,81,15.2,15,6490,36,0,100.0,37.58
University of Wisconsin-Whitewater,No,4400,3719,1472,12,38,7804,1552,6950,2500,300,1200,90.0,95,23.1,16,5559,67,681,84.52,39.58
University of Wisconsin at Green Bay,No,2409,1939,759,17,50,3819,1347,6900,2800,475,1200,81.0,89,22.2,1,5968,46,470,80.49,39.14
University of Wisconsin at Madison,No,14901,10932,4631,36,80,23945,2200,9096,4290,535,1545,93.0,96,11.5,20,11006,72,3969,73.36,42.36
University of Wisconsin at Milwaukee,No,5244,3782,1930,12,37,11561,7443,8786,2964,570,1980,79.0,87,15.9,8,8094,38,1462,72.12,51.03
University of Wyoming,No,2029,1516,1073,23,46,7535,1488,5988,3422,600,1500,91.0,94,15.1,13,8745,45,513,74.72,70.78
Upper Iowa University,Yes,663,452,192,10,35,1481,1160,8840,3060,500,1000,69.0,75,17.4,19,3733,78,211,68.17,42.48
Ursinus College,Yes,1399,1026,308,44,77,1131,17,14900,5160,500,800,82.0,85,11.6,40,12082,79,373,73.34,30.02
Ursuline College,Yes,325,260,86,21,47,699,717,9600,4202,450,750,39.0,69,10.5,15,7164,68,65,80.0,33.08
Valley City State University,No,368,344,212,5,27,863,189,4286,2570,600,2000,39.0,41,14.9,25,4958,40,24,93.48,61.63
Valparaiso University,Yes,2075,1727,520,49,81,2501,198,11800,3260,500,800,87.0,89,14.2,23,9681,95,348,83.23,30.11
Vanderbilt University,Yes,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93.0,98,5.8,26,23850,83,3101,60.2,31.96
Vassar College,Yes,3550,1877,653,53,87,2164,77,18920,5950,600,800,90.0,98,9.7,39,17089,90,1673,52.87,34.79
Villanova University,Yes,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89.0,90,13.4,24,10458,96,2171,72.02,26.43
Virginia Commonwealth University,No,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81.0,87,8.7,11,11183,45,1466,70.46,44.81
Virginia State University,No,2996,2440,704,2,30,3006,338,5587,4845,500,600,61.0,63,16.0,11,5733,31,556,81.44,28.85
Virginia Tech,No,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85.0,89,13.8,20,8944,73,3993,74.59,36.5
Virginia Union University,Yes,1847,1610,453,19,59,1298,67,7384,3494,500,1763,51.0,67,13.7,8,6757,30,237,87.17,28.14
Virginia Wesleyan College,Yes,1470,900,287,20,49,1130,417,10900,5100,500,550,70.0,81,15.7,14,7804,68,570,61.22,31.89
Viterbo College,Yes,647,518,271,17,43,1014,387,9140,3365,500,2245,51.0,65,10.7,31,8050,73,129,80.06,52.32
Wabash College,Yes,800,623,256,41,76,801,5,12925,4195,500,635,78.0,85,9.9,55,14904,72,177,77.88,41.09
Wagner College,Yes,1416,1015,417,10,44,1324,117,13500,5800,585,1700,67.0,78,13.2,23,9006,75,401,71.68,41.08
Wake Forest University,Yes,5661,2392,903,75,88,3499,172,13850,4360,500,1250,95.0,97,4.3,37,41766,89,3269,42.25,37.75
Walsh University,Yes,1092,890,477,27,92,847,497,8670,4180,500,1450,42.0,58,11.3,33,5738,68,202,81.5,53.6
Warren Wilson College,Yes,440,311,112,25,49,466,7,10000,3052,400,1100,65.0,75,11.4,20,9430,63,129,70.68,36.01
Wartburg College,Yes,1231,1074,345,34,66,1295,105,11600,3610,400,850,66.0,91,12.4,37,7735,67,157,87.25,32.12
Washington and Jefferson College,Yes,1305,1100,334,42,64,1098,151,16260,4005,300,500,91.0,91,12.1,40,10162,86,205,84.29,30.36
Washington and Lee University,Yes,3315,1096,425,68,93,1584,3,13750,4619,680,1115,81.0,96,9.6,45,15736,90,2219,33.06,38.78
Washington College,Yes,1209,942,214,31,60,822,46,15276,5318,500,300,79.0,86,11.2,37,10830,65,267,77.92,22.72
Washington State University,No,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84.0,87,16.9,30,10912,56,701,89.28,41.79
Washington University,Yes,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91.0,98,3.9,31,45702,90,2395,68.71,23.84
Wayne State College,No,1373,1373,724,6,21,2754,474,2700,2660,540,1660,60.0,68,20.3,29,4550,52,0,100.0,52.73
Waynesburg College,Yes,1190,978,324,12,30,1280,61,8840,3620,500,1200,57.0,58,16.2,26,6563,63,212,82.18,33.13
Webber College,Yes,280,143,79,5,27,327,110,5590,2900,650,1952,53.0,63,15.1,4,4839,90,137,51.07,55.24
Webster University,Yes,665,462,226,17,44,1739,1550,9160,4340,500,500,68.0,68,20.6,14,6951,48,203,69.47,48.92
Wellesley College,Yes,2895,1249,579,80,96,2195,156,18345,5995,500,700,94.0,98,10.6,51,21409,91,1646,43.14,46.36
Wells College,Yes,318,240,130,40,85,416,19,14900,5550,600,500,93.0,98,8.3,42,13935,69,78,75.47,54.17
Wentworth Institute of Technology,Yes,1480,1257,452,6,25,2961,572,9850,6050,850,920,10.0,68,15.4,8,17858,64,223,84.93,35.96
Wesley College,Yes,980,807,350,10,25,872,448,9890,4674,500,1350,52.0,57,14.4,15,6243,84,173,82.35,43.37
Wesleyan University,Yes,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90.0,94,12.1,39,16262,92,2799,41.35,36.09
West Chester University of Penn.,No,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76.0,79,15.3,16,6773,52,2963,54.43,38.77
West Liberty State College,No,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33.0,33,16.3,10,4249,60,102,91.24,45.01
West Virginia Wesleyan College,Yes,1566,1400,483,28,55,1509,170,14200,3775,450,1100,58.0,81,16.4,42,8080,67,166,89.4,34.5
Western Carolina University,No,3224,2519,1057,11,31,5000,706,6390,2380,110,1622,67.0,78,14.6,9,6554,55,705,78.13,41.96
Western Maryland College,Yes,1205,984,278,31,50,1071,98,14510,5340,500,1400,84.0,91,12.5,39,10026,60,221,81.66,28.25
Western Michigan University,No,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80.0,84,24.7,11,5983,55,1976,78.44,38.08
Western New England College,Yes,1650,1471,409,7,21,1803,1116,8994,5500,498,2065,74.0,97,15.4,15,8409,59,179,89.15,27.8
Western State College of Colorado,No,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76.0,79,19.4,4,4599,52,1079,60.07,37.22
Westfield State College,No,3100,2150,825,3,20,3234,941,5542,3788,500,1300,75.0,79,15.7,20,4222,65,950,69.35,38.37
Westminster College MO,Yes,662,553,184,20,43,665,37,10720,4050,600,1650,66.0,70,12.5,20,7925,62,109,83.53,33.27
Westminster College,Yes,996,866,377,29,58,1411,72,12065,3615,430,685,62.0,78,12.5,41,8596,80,130,86.95,43.53
Westminster College of Salt Lake City,Yes,917,720,213,21,60,979,743,8820,4050,600,2025,68.0,83,10.5,34,7170,50,197,78.52,29.58
Westmont College,No,950,713,351,42,72,1276,9,14320,5304,490,1410,77.0,77,14.9,17,8837,87,237,75.05,49.23
Wheaton College IL,Yes,1432,920,548,56,84,2200,56,11480,4200,530,1400,81.0,83,12.7,40,11916,85,512,64.25,59.57
Westminster College PA,Yes,1738,1373,417,21,55,1335,30,18460,5970,700,850,92.0,96,13.2,41,22704,71,365,79.0,30.37
Wheeling Jesuit College,Yes,903,755,213,15,49,971,305,10500,4545,600,600,66.0,71,14.1,27,7494,72,148,83.61,28.21
Whitman College,Yes,1861,998,359,45,77,1220,46,16670,4900,750,800,80.0,83,10.5,51,13198,72,863,53.63,35.97
Whittier College,Yes,1681,1069,344,35,63,1235,30,16249,5699,500,1998,84.0,92,13.6,29,11778,52,612,63.59,32.18
Whitworth College,Yes,1121,926,372,43,70,1270,160,12660,4500,678,2424,80.0,80,16.9,20,8328,80,195,82.6,40.17
Widener University,Yes,2139,1492,502,24,64,2186,2171,12350,5370,500,1350,88.0,86,12.6,19,9603,63,647,69.75,33.65
Wilkes University,Yes,1631,1431,434,15,36,1803,603,11150,5130,550,1260,78.0,92,13.3,24,8543,67,200,87.74,30.33
Willamette University,Yes,1658,1327,395,49,80,1595,159,14800,4620,400,790,91.0,94,13.3,37,10779,68,331,80.04,29.77
William Jewell College,Yes,663,547,315,32,67,1279,75,10060,2970,500,2600,74.0,80,11.2,19,7885,59,116,82.5,57.59
William Woods University,Yes,469,435,227,17,39,851,120,10535,4365,550,3700,39.0,66,12.9,16,7438,52,34,92.75,52.18
Williams College,Yes,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94.0,99,9.0,64,22014,99,2941,29.74,42.25
Wilson College,Yes,167,130,46,16,50,199,676,11428,5084,450,475,67.0,76,8.3,43,10291,67,37,77.84,35.38
Wingate College,Yes,1239,1017,383,10,34,1207,157,7820,3400,550,1550,69.0,81,13.9,8,7264,91,222,82.08,37.66
Winona State University,No,3325,2047,1301,20,45,5800,872,4200,2700,300,1200,53.0,60,20.2,18,5318,58,1278,61.56,63.56
Winthrop University,No,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71.0,80,12.8,26,6729,59,515,77.8,42.6
Wisconsin Lutheran College,Yes,152,128,75,17,41,282,22,9100,3700,500,1400,48.0,48,8.5,26,8960,50,24,84.21,58.59
Wittenberg University,Yes,1979,1739,575,42,68,1980,144,15948,4404,400,800,82.0,95,12.8,29,10414,78,240,87.87,33.06
Wofford College,Yes,1501,935,273,51,83,1059,34,12680,4150,605,1440,91.0,92,15.3,42,7875,75,566,62.29,29.2
Worcester Polytechnic Institute,Yes,2768,2314,682,49,86,2802,86,15884,5370,530,730,92.0,94,15.2,34,10774,82,454,83.6,29.47
Worcester State College,No,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60.0,60,21.0,14,4469,40,682,68.96,35.84
Xavier University,Yes,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73.0,75,13.3,31,9189,83,154,92.14,38.5
Xavier University of Louisiana,Yes,2097,1915,695,34,61,2793,166,6900,4200,617,781,67.0,75,14.4,20,8323,49,182,91.32,36.29
Yale University,Yes,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96.0,96,5.8,49,40386,99,8252,22.91,53.69
York College of Pennsylvania,Yes,2989,1855,691,28,63,2988,1726,4990,3560,500,1250,75.0,75,18.1,28,4509,99,1134,62.06,37.25
